,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,63.92 ± 0.79,75.91 ± 0.31,76.80 ± 0.36,73.33 ± 0.44,76.75 ± 0.08
tin,52.44 ± 0.39,80.37 ± 0.10,86.76 ± 0.11,70.21 ± 0.32,76.75 ± 0.08
nearood,58.18 ± 0.56,78.14 ± 0.20,81.78 ± 0.23,71.77 ± 0.38,76.75 ± 0.08
mnist,47.59 ± 3.37,81.23 ± 0.54,60.38 ± 3.33,96.22 ± 0.13,76.75 ± 0.08
svhn,56.45 ± 4.28,77.92 ± 1.86,66.75 ± 3.09,88.98 ± 0.75,76.75 ± 0.08
texture,53.38 ± 1.30,81.12 ± 0.33,88.33 ± 0.31,72.02 ± 0.63,76.75 ± 0.08
places365,57.69 ± 0.36,78.11 ± 0.12,60.37 ± 0.28,91.18 ± 0.08,76.75 ± 0.08
farood,53.78 ± 1.69,79.59 ± 0.63,68.96 ± 1.31,87.10 ± 0.23,76.75 ± 0.08
