,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,70.20 ± 0.55,74.87 ± 0.25,74.56 ± 0.32,72.51 ± 0.07,76.75 ± 0.08
tin,50.56 ± 1.11,83.57 ± 0.31,88.69 ± 0.25,74.88 ± 0.25,76.75 ± 0.08
nearood,60.38 ± 0.82,79.22 ± 0.28,81.62 ± 0.28,73.70 ± 0.15,76.75 ± 0.08
mnist,12.56 ± 1.55,97.02 ± 0.29,90.85 ± 0.91,99.51 ± 0.04,76.75 ± 0.08
svhn,39.33 ± 4.44,87.58 ± 1.45,79.86 ± 2.56,93.88 ± 0.68,76.75 ± 0.08
texture,55.89 ± 1.29,84.72 ± 0.86,88.79 ± 0.48,78.45 ± 1.53,76.75 ± 0.08
places365,53.55 ± 0.82,82.29 ± 0.44,65.40 ± 0.49,93.06 ± 0.18,76.75 ± 0.08
farood,40.33 ± 1.16,87.90 ± 0.22,81.23 ± 0.65,91.22 ± 0.24,76.75 ± 0.08
