,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,73.36 ± 0.33,71.97 ± 0.18,71.81 ± 0.30,69.11 ± 0.11,76.75 ± 0.08
tin,52.89 ± 0.98,82.44 ± 0.41,87.84 ± 0.32,73.47 ± 0.59,76.75 ± 0.08
nearood,63.12 ± 0.64,77.21 ± 0.29,79.83 ± 0.29,71.29 ± 0.32,76.75 ± 0.08
mnist,6.75 ± 1.50,98.58 ± 0.27,94.87 ± 0.98,99.78 ± 0.04,76.75 ± 0.08
svhn,33.50 ± 3.75,89.93 ± 1.24,83.56 ± 2.05,94.93 ± 0.62,76.75 ± 0.08
texture,53.06 ± 0.81,86.98 ± 0.81,90.23 ± 0.44,82.38 ± 1.44,76.75 ± 0.08
places365,54.30 ± 1.00,81.90 ± 0.77,64.78 ± 0.88,92.89 ± 0.38,76.75 ± 0.08
farood,36.90 ± 0.96,89.35 ± 0.14,83.36 ± 0.38,92.49 ± 0.29,76.75 ± 0.08
