,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,68.21 ± 0.64,76.72 ± 0.33,75.75 ± 0.32,74.48 ± 0.43,76.75 ± 0.08
tin,52.54 ± 0.40,83.18 ± 0.19,88.00 ± 0.10,74.39 ± 0.39,76.75 ± 0.08
nearood,60.38 ± 0.16,79.95 ± 0.18,81.87 ± 0.18,74.43 ± 0.37,76.75 ± 0.08
mnist,34.06 ± 4.26,89.00 ± 0.51,72.75 ± 3.62,97.92 ± 0.05,76.75 ± 0.08
svhn,44.69 ± 4.89,85.06 ± 1.60,75.97 ± 3.26,92.51 ± 0.61,76.75 ± 0.08
texture,42.63 ± 1.12,87.28 ± 0.26,92.19 ± 0.18,80.18 ± 0.68,76.75 ± 0.08
places365,57.72 ± 0.65,80.62 ± 0.16,60.51 ± 0.60,92.37 ± 0.06,76.75 ± 0.08
farood,44.78 ± 2.23,85.49 ± 0.44,75.35 ± 1.70,90.74 ± 0.07,76.75 ± 0.08
