,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,76.32 ± 0.07,68.36 ± 0.10,68.64 ± 0.14,65.47 ± 0.14,76.75 ± 0.08
tin,57.64 ± 1.13,79.85 ± 0.33,85.89 ± 0.27,70.15 ± 0.56,76.75 ± 0.08
nearood,66.98 ± 0.60,74.11 ± 0.14,77.27 ± 0.17,67.81 ± 0.24,76.75 ± 0.08
mnist,4.98 ± 0.50,98.95 ± 0.10,96.04 ± 0.39,99.83 ± 0.02,76.75 ± 0.08
svhn,28.88 ± 2.94,91.50 ± 1.07,86.03 ± 1.79,95.69 ± 0.57,76.75 ± 0.08
texture,53.48 ± 0.54,87.82 ± 0.69,90.63 ± 0.38,84.13 ± 1.20,76.75 ± 0.08
places365,56.65 ± 1.65,80.91 ± 1.04,62.79 ± 1.32,92.51 ± 0.49,76.75 ± 0.08
farood,36.00 ± 0.13,89.79 ± 0.20,83.87 ± 0.06,93.04 ± 0.30,76.75 ± 0.08
