,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,61.33 ± 1.18,86.87 ± 0.14,84.50 ± 0.44,86.19 ± 0.66,95.06 ± 0.30
tin,50.20 ± 2.39,88.96 ± 0.25,88.50 ± 0.35,86.77 ± 0.92,95.06 ± 0.30
nearood,55.76 ± 1.78,87.92 ± 0.17,86.50 ± 0.37,86.48 ± 0.78,95.06 ± 0.30
mnist,25.86 ± 11.23,93.45 ± 1.99,74.63 ± 10.84,98.87 ± 0.33,95.06 ± 0.30
svhn,31.80 ± 7.09,91.55 ± 0.81,81.01 ± 3.56,96.16 ± 0.51,95.06 ± 0.30
texture,43.36 ± 2.71,89.78 ± 0.60,91.63 ± 0.61,84.03 ± 1.79,95.06 ± 0.30
places365,49.20 ± 8.05,89.16 ± 0.69,66.59 ± 4.02,96.52 ± 0.18,95.06 ± 0.30
farood,37.55 ± 6.46,90.99 ± 0.76,78.46 ± 4.39,93.89 ± 0.53,95.06 ± 0.30
