,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,90.63 ± 0.15,48.22 ± 0.28,49.47 ± 0.09,49.84 ± 0.34,43.91 ± 0.11
ninco,83.10 ± 0.35,54.52 ± 0.32,91.04 ± 0.05,12.37 ± 0.19,43.91 ± 0.11
nearood,86.86 ± 0.23,51.37 ± 0.30,70.25 ± 0.07,31.10 ± 0.26,43.91 ± 0.11
inaturalist,69.25 ± 1.54,68.18 ± 1.16,91.11 ± 0.38,27.66 ± 1.27,43.91 ± 0.11
textures,79.39 ± 0.90,67.00 ± 0.45,94.22 ± 0.11,20.79 ± 0.59,43.91 ± 0.11
openimage_o,76.25 ± 0.35,60.73 ± 0.42,83.11 ± 0.18,32.21 ± 0.52,43.91 ± 0.11
farood,74.96 ± 0.76,65.31 ± 0.59,89.48 ± 0.19,26.89 ± 0.74,43.91 ± 0.11
