,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,85.96,53.52,72.82,33.29,54.35
ninco,75.00,61.58,96.69,6.94,54.35
nearood,80.48,57.55,84.75,20.11,54.35
inaturalist,54.12,75.89,96.98,18.29,54.35
textures,66.45,73.31,98.01,11.14,54.35
openimage_o,60.05,72.69,94.63,23.73,54.35
farood,60.21,73.96,96.54,17.72,54.35
