,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,59.09 ± 0.62,79.24 ± 0.10,79.87 ± 0.29,76.56 ± 0.04,77.25 ± 0.09
tin,51.57 ± 0.66,82.96 ± 0.05,88.10 ± 0.05,73.27 ± 0.15,77.25 ± 0.09
nearood,55.33 ± 0.64,81.10 ± 0.07,83.99 ± 0.17,74.91 ± 0.06,77.25 ± 0.09
mnist,52.92 ± 3.90,78.89 ± 1.50,53.07 ± 4.27,95.12 ± 0.27,77.25 ± 0.09
svhn,54.06 ± 2.95,81.56 ± 1.44,69.31 ± 2.15,90.27 ± 0.90,77.25 ± 0.09
texture,62.07 ± 1.97,78.48 ± 0.83,85.91 ± 0.80,64.74 ± 1.03,77.25 ± 0.09
places365,57.47 ± 0.93,79.83 ± 0.24,60.94 ± 0.47,91.71 ± 0.13,77.25 ± 0.09
farood,56.63 ± 1.30,79.69 ± 0.56,67.31 ± 1.05,85.46 ± 0.32,77.25 ± 0.09
