,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,69.47 ± 0.37,80.22 ± 0.01,44.18 ± 0.15,94.90 ± 0.02,86.37 ± 0.08
ninco,49.37 ± 0.75,85.76 ± 0.08,90.48 ± 0.10,77.12 ± 0.10,86.37 ± 0.08
nearood,59.42 ± 0.48,82.99 ± 0.04,67.33 ± 0.12,86.01 ± 0.06,86.37 ± 0.08
inaturalist,24.77 ± 1.91,93.22 ± 0.43,93.83 ± 0.42,92.40 ± 0.49,86.37 ± 0.08
textures,41.27 ± 1.98,90.57 ± 0.15,93.69 ± 0.18,85.48 ± 0.04,86.37 ± 0.08
openimage_o,35.24 ± 0.60,89.71 ± 0.19,86.53 ± 0.17,92.49 ± 0.19,86.37 ± 0.08
farood,33.76 ± 1.20,91.16 ± 0.18,91.35 ± 0.19,90.12 ± 0.21,86.37 ± 0.08
