,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,76.15,72.49,71.38,71.01,76.19
ninco,58.86,80.57,96.85,31.64,76.19
nearood,67.51,76.53,84.11,51.33,76.19
inaturalist,30.04,91.33,97.93,67.05,76.19
textures,46.27,88.37,98.24,52.35,76.19
openimage_o,37.44,89.23,96.00,71.41,76.19
farood,37.92,89.64,97.39,63.60,76.19
