,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,35.92 ± 1.12,90.46 ± 0.17,91.21 ± 0.20,89.14 ± 0.23,95.00 ± 0.07
tin,22.42 ± 0.99,94.41 ± 0.20,95.67 ± 0.16,92.65 ± 0.24,95.00 ± 0.07
nearood,29.17 ± 0.84,92.43 ± 0.17,93.44 ± 0.15,90.90 ± 0.23,95.00 ± 0.07
mnist,1.37 ± 0.35,99.68 ± 0.11,98.75 ± 0.40,99.95 ± 0.02,95.00 ± 0.07
svhn,6.72 ± 1.37,98.61 ± 0.34,97.00 ± 0.58,99.46 ± 0.15,95.00 ± 0.07
texture,10.93 ± 0.52,97.95 ± 0.06,98.68 ± 0.03,97.02 ± 0.12,95.00 ± 0.07
places365,18.47 ± 1.12,95.56 ± 0.34,89.74 ± 0.69,98.57 ± 0.11,95.00 ± 0.07
farood,9.37 ± 0.40,97.95 ± 0.09,96.04 ± 0.12,98.75 ± 0.06,95.00 ± 0.07
