,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,31.50 ± 1.55,91.48 ± 0.43,92.22 ± 0.40,90.00 ± 0.62,95.00 ± 0.07
tin,20.82 ± 1.19,94.58 ± 0.34,95.89 ± 0.24,92.58 ± 0.60,95.00 ± 0.07
nearood,26.16 ± 1.29,93.03 ± 0.38,94.05 ± 0.31,91.29 ± 0.61,95.00 ± 0.07
mnist,3.33 ± 1.35,99.04 ± 0.56,97.26 ± 1.12,99.79 ± 0.17,95.00 ± 0.07
svhn,8.31 ± 1.42,97.91 ± 0.69,96.21 ± 0.82,98.95 ± 0.56,95.00 ± 0.07
texture,13.44 ± 1.37,97.16 ± 0.43,98.23 ± 0.24,95.46 ± 0.99,95.00 ± 0.07
places365,19.14 ± 0.76,95.30 ± 0.14,89.20 ± 0.47,98.47 ± 0.02,95.00 ± 0.07
farood,11.06 ± 0.86,97.35 ± 0.38,95.23 ± 0.42,98.17 ± 0.43,95.00 ± 0.07
