,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,40.77 ± 2.04,88.63 ± 0.76,89.64 ± 0.67,87.11 ± 0.90,95.00 ± 0.07
tin,26.89 ± 1.82,93.20 ± 0.56,94.73 ± 0.44,91.14 ± 0.71,95.00 ± 0.07
nearood,33.83 ± 1.88,90.92 ± 0.65,92.19 ± 0.55,89.12 ± 0.80,95.00 ± 0.07
mnist,1.90 ± 1.01,99.56 ± 0.25,98.42 ± 0.82,99.93 ± 0.04,95.00 ± 0.07
svhn,7.14 ± 1.85,98.51 ± 0.42,96.84 ± 0.73,99.42 ± 0.18,95.00 ± 0.07
texture,11.74 ± 1.57,97.82 ± 0.27,98.60 ± 0.17,96.86 ± 0.38,95.00 ± 0.07
places365,19.28 ± 1.14,95.27 ± 0.25,89.26 ± 0.59,98.46 ± 0.07,95.00 ± 0.07
farood,10.02 ± 0.77,97.79 ± 0.16,95.78 ± 0.26,98.67 ± 0.13,95.00 ± 0.07
