,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,43.67 ± 0.80,89.80 ± 0.12,88.62 ± 0.45,89.03 ± 0.12,95.00 ± 0.07
tin,28.39 ± 0.86,92.63 ± 0.18,93.33 ± 0.23,90.77 ± 0.18,95.00 ± 0.07
nearood,36.03 ± 0.53,91.21 ± 0.13,90.98 ± 0.31,89.90 ± 0.14,95.00 ± 0.07
mnist,9.21 ± 0.57,97.75 ± 0.15,92.58 ± 0.47,99.62 ± 0.04,95.00 ± 0.07
svhn,12.08 ± 1.50,96.94 ± 0.54,94.24 ± 0.76,98.62 ± 0.31,95.00 ± 0.07
texture,13.10 ± 1.09,97.08 ± 0.22,98.17 ± 0.12,95.43 ± 0.30,95.00 ± 0.07
places365,24.58 ± 0.80,93.48 ± 0.29,83.23 ± 1.02,97.87 ± 0.09,95.00 ± 0.07
farood,14.74 ± 0.68,96.31 ± 0.21,92.05 ± 0.38,97.88 ± 0.13,95.00 ± 0.07
