,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,35.76 ± 0.73,88.85 ± 0.11,89.62 ± 0.26,85.87 ± 0.11,95.00 ± 0.07
tin,28.18 ± 0.35,90.63 ± 0.13,92.80 ± 0.13,86.26 ± 0.14,95.00 ± 0.07
nearood,31.97 ± 0.41,89.74 ± 0.12,91.21 ± 0.18,86.06 ± 0.12,95.00 ± 0.07
mnist,15.37 ± 0.82,94.65 ± 0.32,87.57 ± 0.63,98.95 ± 0.08,95.00 ± 0.07
svhn,16.41 ± 1.59,93.98 ± 0.65,91.28 ± 0.79,96.72 ± 0.47,95.00 ± 0.07
texture,18.41 ± 1.17,94.29 ± 0.19,96.83 ± 0.12,89.53 ± 0.24,95.00 ± 0.07
places365,27.36 ± 0.55,90.82 ± 0.23,81.93 ± 0.67,96.49 ± 0.07,95.00 ± 0.07
farood,19.39 ± 0.67,93.44 ± 0.24,89.40 ± 0.35,95.43 ± 0.09,95.00 ± 0.07
