,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,35.87 ± 1.03,90.44 ± 0.17,91.20 ± 0.21,89.12 ± 0.24,95.00 ± 0.07
tin,22.44 ± 0.90,94.40 ± 0.21,95.67 ± 0.17,92.65 ± 0.25,95.00 ± 0.07
nearood,29.16 ± 0.73,92.42 ± 0.17,93.44 ± 0.16,90.88 ± 0.24,95.00 ± 0.07
mnist,1.39 ± 0.36,99.68 ± 0.11,98.74 ± 0.40,99.95 ± 0.02,95.00 ± 0.07
svhn,6.54 ± 1.25,98.64 ± 0.32,97.06 ± 0.54,99.47 ± 0.14,95.00 ± 0.07
texture,10.82 ± 0.49,97.96 ± 0.06,98.69 ± 0.03,97.03 ± 0.12,95.00 ± 0.07
places365,18.43 ± 1.06,95.58 ± 0.34,89.77 ± 0.70,98.58 ± 0.11,95.00 ± 0.07
farood,9.29 ± 0.37,97.96 ± 0.09,96.06 ± 0.11,98.76 ± 0.06,95.00 ± 0.07
